customer_id,customer_type,customer_name,gender,birth_date,age,city,province,latitude,longitude,vehicle_id,vehicle_type,vehicle_brand,vehicle_year,vehicle_age,plate_region,organization_name,transaction_id,transaction_date,last_payment_date,payment_status,sw_amount,penalty_amount,claim_id,claim_count,claim_amount,journal_amount,inflation_rate,weather_condition,economic_index,segment,renewal_probability,cross_sell_score,retention_score,churn_risk,preferred_channel,last_campaign,campaign_response,predicted_revenue,data_quality_score
CUST000011,Organization,Organization 0011,N/A,,,Jakarta Utara,DKI Jakarta,-6.17774,106.714515,VEH000011,Bus,Hino,2026,0,B,UD Mandiri 011,TRX000011,2024-05-26,2024-04-13,Paid,1090841,0,,0,0,1090841,3.13,Cloudy,85.4,At Risk,0.353,0.392,0.293,0.929,SMS,No Campaign,Not Contacted,362737.2,0.973
CUST000012,Individual,Dewi Hidayat,Female,1980-04-07,46,Padang,Sumatera Barat,-0.986339,100.399993,VEH000012,Truck,Mercedes-Benz,2016,10,BA,,TRX000012,2024-09-17,2024-08-23,Due Soon,494584,0,,0,0,494584,3.09,Sunny,82.4,At Risk,0.173,0.228,0.254,0.913,Call Center,Renewal Reminder,Clicked,139893.4,0.889
CUST000013,Individual,Lia Susanto,Female,1957-07-19,69,Cimahi,Jawa Barat,-6.885906,107.576812,VEH000013,Motorcycle,Honda,2018,8,T,,TRX000013,2023-01-04,2022-10-12,Due Soon,39038,0,,0,0,39038,4.47,Cloudy,92.7,Standard,0.599,0.349,0.426,0.482,Mobile App,Renewal Reminder,No Response,33152.3,0.847
CUST000014,Individual,Maya Susanto,Female,2003-01-10,23,Depok,Jawa Barat,-6.359371,106.804665,VEH000014,Motorcycle,Kawasaki,2023,3,F,,TRX000014,2026-05-27,2026-01-31,Paid,37685,0,,0,0,37685,3.54,Rainy,113.6,At Risk,0.281,0.149,0.249,0.816,SMS,No Campaign,Not Contacted,9964.2,0.825
CUST000015,Individual,Rini Saputra,Female,1990-10-07,36,Bandung,Jawa Barat,-6.961564,107.646889,VEH000015,Passenger Car,Hyundai,2020,6,D,,TRX000015,2025-03-29,2023-10-13,Paid,168032,0,,0,0,168032,4.94,Rainy,107.2,Standard,0.662,0.513,0.486,0.351,Email,Renewal Reminder,No Response,153095.2,0.877
CUST000016,Individual,Indah Pratama,Female,2005-08-15,21,Madiun,Jawa Timur,-7.611395,111.559086,VEH000016,Motorcycle,Yamaha,2025,1,AE,,TRX000016,2024-07-21,2023-11-16,Paid,34849,0,,0,0,34849,4.35,Sunny,91.8,At Risk,0.078,0.103,0.165,0.616,Call Center,MTPL Cross-sell,No Response,14850.8,0.765
CUST000017,Individual,Sari Putra,Female,1969-07-28,57,Jakarta Utara,DKI Jakarta,-6.050065,106.697249,VEH000017,Bus,Scania,2022,4,B,,TRX000017,2026-01-23,2025-10-18,Due Soon,985762,0,,0,0,985762,3.44,Sunny,103.4,At Risk,0.303,0.344,0.326,0.972,WhatsApp,No Campaign,Not Contacted,507002.0,0.909
CUST000018,Organization,Organization 0018,N/A,,,Jakarta Timur,DKI Jakarta,-6.266694,106.862104,VEH000018,Motorcycle,Kawasaki,2013,13,B,CV Karya 018,TRX000018,2025-05-13,2023-10-30,Due Soon,38084,0,,0,0,38084,1.71,Heavy Rain,87.8,Standard,0.731,0.218,0.312,0.211,Email,MTPL Cross-sell,No Response,35072.2,0.777
CUST000019,Individual,Dimas Wahyudi,Male,1987-01-10,39,Jakarta Barat,DKI Jakarta,-6.12522,106.710342,VEH000019,Passenger Car,Hyundai,2017,9,B,,TRX000019,2024-02-11,2022-08-17,Overdue,176208,25000,CLM000019,3,50000000,201208,4.72,Rainy,99.8,Standard,0.54,0.498,0.328,0.391,SMS,MTPL Cross-sell,Not Contacted,154512.5,0.837
CUST000020,Individual,Sinta Sari,Female,2002-12-19,24,Jakarta Pusat,DKI Jakarta,-6.196808,106.871498,VEH000020,Motorcycle,Yamaha,2007,19,B,,TRX000020,2024-07-25,2023-09-05,Paid,38005,0,,0,0,38005,3.02,Sunny,109.8,Standard,0.395,0.559,0.436,0.496,Mobile App,Renewal Reminder,No Response,54836.2,0.771
CUST000021,Individual,Sari Wahyudi,Female,1968-04-13,58,Palembang,Sumatera Selatan,-2.94527,104.761652,VEH000021,Passenger Car,Mitsubishi,2026,0,BG,,TRX000021,2026-04-06,2024-06-25,Paid,159068,0,,0,0,159068,4.48,Sunny,104.6,Standard,0.413,0.254,0.377,0.154,WhatsApp,No Campaign,Not Contacted,96023.8,0.802
CUST000022,Individual,Wahyu Kusuma,Male,1969-01-23,57,Singaraja,Bali,-8.034674,115.1416,VEH000022,Passenger Car,Mitsubishi,2006,20,DK,,TRX000022,2023-04-22,2023-03-11,Paid,182701,0,,0,0,182701,4.51,Sunny,80.4,Standard,0.515,0.353,0.686,0.214,Email,Renewal Reminder,No Response,171907.2,0.888
CUST000023,Individual,Teguh Nugroho,Male,1976-10-20,50,Cirebon,Jawa Barat,-6.696393,108.525697,VEH000023,Truck,Isuzu,2021,5,F,,TRX000023,2025-02-18,2023-09-05,Due Soon,509470,0,,0,0,509470,3.22,Cloudy,82.1,Premium,0.728,0.867,0.9,0.047,SMS,Renewal Reminder,Not Contacted,1178437.3,0.848
CUST000024,Individual,Fajar Saputra,Male,1966-11-19,60,Jakarta Selatan,DKI Jakarta,-6.300821,106.866771,VEH000024,Passenger Car,Daihatsu,2018,8,B,,TRX000024,2023-08-24,2023-03-06,Paid,137222,0,,0,0,137222,2.07,Sunny,107.7,Growth,0.73,0.768,0.626,0.237,Call Center,MTPL Cross-sell,No Response,235743.1,0.855
CUST000025,Individual,Rudi Hartono,Male,1952-03-16,74,Bandar Lampung,Lampung,-5.437447,105.190419,VEH000025,Passenger Car,Wuling,2013,13,BE,,TRX000025,2024-01-07,2023-08-21,Overdue,156826,0,,0,0,156826,3.13,Sunny,83.7,Standard,0.485,0.423,0.565,0.28,Mobile App,Renewal Reminder,No Response,106271.4,0.778
CUST000026,Individual,Rizki Susanto,Male,1973-10-25,53,Padang,Sumatera Barat,-0.923802,100.360828,VEH000026,Passenger Car,Wuling,2006,20,BA,,TRX000026,2024-02-21,2023-03-01,Overdue,181762,100000,,0,0,281762,3.44,Sunny,102.1,At Risk,0.298,0.159,0.054,0.725,Call Center,No Campaign,Not Contacted,32612.2,0.977
CUST000027,Individual,Nurul Rahayu,Female,1979-09-05,47,Sukabumi,Jawa Barat,-6.954067,106.953631,VEH000027,Motorcycle,TVS,2021,5,Z,,TRX000027,2023-10-07,2023-08-17,Paid,42317,0,,0,0,42317,2.86,Rainy,89.4,Standard,0.627,0.577,0.532,0.397,Email,MTPL Cross-sell,Not Contacted,32401.4,0.933
CUST000028,Individual,Yusuf Santoso,Male,1970-12-16,56,Banjarmasin,Kalimantan Selatan,-3.23977,114.548518,VEH000028,Passenger Car,Hyundai,2017,9,DA,,TRX000028,2023-11-08,2023-10-21,Installment,135921,50000,,0,0,185921,5.0,Cloudy,98.4,Growth,0.689,0.564,0.712,0.112,WhatsApp,No Campaign,Not Contacted,186966.7,0.916
CUST000029,Individual,Eko Wahyudi,Male,1965-11-22,61,Bukittinggi,Sumatera Barat,-0.232616,100.389177,VEH000029,Commercial Vehicle,Isuzu,2007,19,BA,,TRX000029,2025-06-07,2022-12-19,Due Soon,295389,0,CLM000029,2,25000000,295389,5.11,Sunny,107.9,Standard,0.469,0.266,0.512,0.355,Mobile App,Renewal Reminder,No Response,401115.7,0.899
CUST000030,Individual,Sari Saputra,Female,2001-08-10,25,Pontianak,Kalimantan Barat,-0.065586,109.363744,VEH000030,Passenger Car,Suzuki,2007,19,KB,,TRX000030,2025-06-23,2024-05-08,Installment,145811,100000,,0,0,245811,3.33,Sunny,115.0,At Risk,0.087,0.183,0.158,0.677,Mobile App,Renewal Reminder,Clicked,54980.1,0.752
CUST000031,Individual,Eko Nugroho,Male,1972-04-21,54,Pekanbaru,Riau,0.572767,101.487005,VEH000031,Motorcycle,Suzuki,2026,0,BM,,TRX000031,2023-10-08,2023-04-18,Paid,40284,0,CLM000031,4,5000000,40284,3.82,Rainy,83.2,Standard,0.636,0.279,0.353,0.343,Email,MTPL Cross-sell,Converted,52913.8,0.812
CUST000032,Individual,Rina Kusuma,Female,1998-04-28,28,Prabumulih,Sumatera Selatan,-3.391555,104.211491,VEH000032,Passenger Car,Hyundai,2022,4,BG,,TRX000032,2025-01-19,2022-09-01,Due Soon,129496,0,,0,0,129496,3.32,Cloudy,103.5,Growth,0.729,0.776,0.493,0.144,SMS,No Campaign,Not Contacted,227186.8,0.97
CUST000033,Individual,Andi Santoso,Male,1952-05-16,74,Cirebon,Jawa Barat,-6.712164,108.589255,VEH000033,Motorcycle,Yamaha,2022,4,Z,,TRX000033,2023-10-05,2022-12-16,Paid,40886,0,,0,0,40886,5.28,Sunny,106.0,Standard,0.487,0.245,0.496,0.284,Email,Renewal Reminder,Not Contacted,36295.4,0.978
CUST000034,Individual,Irwan Setiawan,Male,1962-02-28,64,Sukabumi,Jawa Barat,-6.941991,106.985036,VEH000034,Truck,Mitsubishi,2026,0,T,,TRX000034,2024-03-10,2024-02-02,Installment,460115,50000,,0,0,510115,2.0,Cloudy,82.4,At Risk,0.123,0.126,0.311,0.691,SMS,No Campaign,Not Contacted,46924.8,0.956
CUST000035,Organization,Organization 0035,N/A,,,Bogor,Jawa Barat,-6.579705,106.772508,VEH000035,Motorcycle,Yamaha,2023,3,D,CV Mandiri 035,TRX000035,2024-10-25,2022-06-17,Paid,32233,0,,0,0,32233,3.6,Rainy,96.7,At Risk,0.23,0.088,0.201,0.957,SMS,No Campaign,Not Contacted,22785.1,0.875
CUST000036,Individual,Deny Pratama,Male,1978-02-03,48,Manado,Sulawesi Utara,1.567134,124.89796,VEH000036,Motorcycle,Yamaha,2007,19,DB,,TRX000036,2023-09-16,2022-10-19,Overdue,39695,50000,,0,0,89695,3.89,Sunny,97.7,Standard,0.657,0.251,0.562,0.495,WhatsApp,No Campaign,Not Contacted,34656.8,0.963
CUST000037,Individual,Ratna Putra,Female,1959-11-16,67,Balikpapan,Kalimantan Timur,-1.281333,116.763827,VEH000037,Motorcycle,Honda,2007,19,KH,,TRX000037,2025-06-03,2022-12-15,Overdue,36717,25000,,0,0,61717,3.85,Cloudy,91.5,Standard,0.459,0.499,0.6,0.491,Mobile App,No Campaign,Not Contacted,38936.6,0.834
CUST000038,Individual,Rudi Hartono,Male,1964-07-28,62,Madiun,Jawa Timur,-7.67354,111.461317,VEH000038,Passenger Car,Toyota,2024,2,W,,TRX000038,2024-07-01,2022-06-30,Paid,168894,0,,0,0,168894,2.86,Sunny,110.4,Growth,0.56,0.457,0.703,0.062,Mobile App,Renewal Reminder,Not Contacted,232993.2,0.839
CUST000039,Individual,Rudi Wijaya,Male,1992-07-16,34,Pekanbaru,Riau,0.568403,101.39267,VEH000039,Passenger Car,Hyundai,2013,13,BM,,TRX000039,2024-03-17,2023-11-07,Paid,153291,0,,0,0,153291,4.21,Cloudy,103.3,Standard,0.478,0.47,0.303,0.236,Call Center,Renewal Reminder,No Response,116644.4,0.752
CUST000040,Individual,Rina Sari,Female,2005-12-02,21,Depok,Jawa Barat,-6.380547,106.78082,VEH000040,Motorcycle,Kawasaki,2007,19,E,,TRX000040,2024-10-03,2024-01-11,Paid,37161,0,,0,0,37161,2.66,Sunny,113.8,Standard,0.726,0.407,0.576,0.263,WhatsApp,Renewal Reminder,Not Contacted,31233.6,0.769
CUST000041,Individual,Wahyu Putra,Male,1996-11-27,30,Pekanbaru,Riau,0.480359,101.394678,VEH000041,Motorcycle,Honda,2009,17,BM,,TRX000041,2024-06-08,2022-12-20,Paid,33640,0,,0,0,33640,1.8,Heavy Rain,102.0,Growth,0.625,0.632,0.722,0.403,Mobile App,No Campaign,Not Contacted,45395.6,0.983
CUST000042,Individual,Wahyu Susanto,Male,1954-05-15,72,Jakarta Timur,DKI Jakarta,-6.225018,106.86893,VEH000042,Passenger Car,Toyota,2016,10,B,,TRX000042,2024-08-10,2022-08-18,Overdue,184605,0,,0,0,184605,3.53,Cloudy,99.4,At Risk,0.364,0.207,0.293,0.83,Call Center,MTPL Cross-sell,No Response,26456.0,0.775
CUST000043,Individual,Sinta Susanto,Female,1983-10-06,43,Jakarta Selatan,DKI Jakarta,-6.257129,106.781267,VEH000043,Motorcycle,Suzuki,2017,9,B,,TRX000043,2025-04-17,2024-04-23,Overdue,32233,50000,CLM000043,1,45000000,82233,4.21,Sunny,105.3,Growth,0.763,0.749,0.583,0.283,SMS,Renewal Reminder,Converted,64060.4,0.844
CUST000044,Individual,Bayu Wahyudi,Male,1991-11-14,35,Banjarmasin,Kalimantan Selatan,-3.307266,114.613268,VEH000044,Passenger Car,Toyota,2016,10,DA,,TRX000044,2024-09-24,2022-12-02,Installment,148247,100000,CLM000044,2,15000000,248247,1.81,Rainy,83.5,At Risk,0.342,0.359,0.061,0.695,Mobile App,Renewal Reminder,Not Contacted,31661.6,0.95
CUST000045,Individual,Arif Hartono,Male,1968-12-26,58,Makassar,Sulawesi Selatan,-5.112276,119.359722,VEH000045,Motorcycle,TVS,2012,14,DP,,TRX000045,2024-09-25,2024-09-06,Due Soon,44155,0,CLM000045,5,40000000,44155,3.35,Sunny,93.4,Growth,0.787,0.727,0.771,0.105,Call Center,MTPL Cross-sell,Clicked,76949.8,0.775
CUST000046,Individual,Yusuf Wahyudi,Male,1964-08-12,62,Bukittinggi,Sumatera Barat,-0.371858,100.314539,VEH000046,Commercial Vehicle,Daihatsu,2006,20,BA,,TRX000046,2025-03-22,2024-07-05,Paid,324452,0,,0,0,324452,1.61,Rainy,109.4,Growth,0.717,0.455,0.565,0.382,Mobile App,Renewal Reminder,Opened,506996.0,0.751
CUST000047,Organization,Organization 0047,N/A,,,Malang,Jawa Timur,-7.958811,112.668988,VEH000047,Motorcycle,Honda,2006,20,AE,PT Jaya 047,TRX000047,2024-05-03,2023-08-04,Overdue,40219,0,CLM000047,4,50000000,40219,3.64,Cloudy,100.1,Growth,0.517,0.401,0.591,0.278,SMS,No Campaign,Not Contacted,67967.0,0.837
CUST000048,Individual,Ratna Pratama,Female,1951-06-26,75,Palembang,Sumatera Selatan,-2.993294,104.73353,VEH000048,Motorcycle,Yamaha,2026,0,BG,,TRX000048,2023-08-01,2023-07-01,Overdue,42093,25000,CLM000048,5,30000000,67093,4.75,Sunny,107.3,Growth,0.678,0.653,0.775,0.075,Mobile App,MTPL Cross-sell,No Response,36809.1,0.798
CUST000049,Organization,Organization 0049,N/A,,,Banjarmasin,Kalimantan Selatan,-3.238434,114.597194,VEH000049,Motorcycle,Suzuki,2006,20,DA,PT Prima 049,TRX000049,2024-11-10,2023-03-07,Paid,36652,0,,0,0,36652,4.47,Rainy,93.5,Premium,0.839,0.774,0.972,0.083,Mobile App,No Campaign,Not Contacted,79089.7,0.895
CUST000050,Individual,Sinta Hartono,Female,1995-07-06,31,Prabumulih,Sumatera Selatan,-3.494588,104.209764,VEH000050,Passenger Car,Nissan,2019,7,BG,,TRX000050,2023-03-28,2022-11-28,Overdue,153578,0,CLM000050,4,30000000,153578,3.55,Rainy,85.6,Standard,0.682,0.505,0.475,0.157,Call Center,MTPL Cross-sell,No Response,221830.2,0.758
CUST000051,Individual,Maya Putra,Female,1991-05-08,35,Jakarta Barat,DKI Jakarta,-6.188402,106.80559,VEH000051,Commercial Vehicle,Mitsubishi,2010,16,B,,TRX000051,2025-10-19,2025-04-26,Paid,281167,0,,0,0,281167,2.54,Cloudy,114.9,Standard,0.712,0.421,0.349,0.484,WhatsApp,No Campaign,Not Contacted,250132.4,0.771
CUST000052,Individual,Indah Pratama,Female,1995-12-21,31,Balikpapan,Kalimantan Timur,-1.241037,116.862139,VEH000052,Motorcycle,Suzuki,2021,5,KH,,TRX000052,2024-04-04,2022-10-03,Installment,42588,25000,,0,0,67588,1.61,Cloudy,92.9,At Risk,0.243,0.264,0.076,0.683,Email,No Campaign,Not Contacted,19930.6,0.935
CUST000053,Individual,Wati Saputra,Female,2003-09-21,23,Bogor,Jawa Barat,-6.604693,106.826916,VEH000053,Passenger Car,Suzuki,2018,8,E,,TRX000053,2025-10-26,2022-09-22,Due Soon,158335,0,,0,0,158335,2.15,Rainy,87.9,At Risk,0.232,0.149,0.074,0.634,Email,Renewal Reminder,Opened,83933.4,0.772
CUST000054,Individual,Dian Santoso,Female,2002-01-03,24,Pekalongan,Jawa Tengah,-6.943345,109.690397,VEH000054,Motorcycle,TVS,2013,13,AD,,TRX000054,2024-03-07,2024-01-07,Paid,40445,0,,0,0,40445,4.01,Sunny,113.5,Growth,0.722,0.674,0.569,0.079,SMS,MTPL Cross-sell,Not Contacted,46383.9,0.896
CUST000055,Individual,Gilang Rahayu,Male,1979-02-09,47,Singaraja,Bali,-8.035496,115.029302,VEH000055,Motorcycle,Yamaha,2008,18,DK,,TRX000055,2023-04-14,2022-10-27,Due Soon,43598,0,,0,0,43598,5.35,Rainy,108.5,At Risk,0.302,0.116,0.098,0.978,WhatsApp,No Campaign,Not Contacted,19538.8,0.772
CUST000056,Individual,Nurul Hartono,Female,2003-11-22,23,Jakarta Pusat,DKI Jakarta,-6.232063,106.810554,VEH000056,Passenger Car,Toyota,2008,18,B,,TRX000056,2025-06-01,2023-03-02,Due Soon,170313,0,,0,0,170313,2.96,Sunny,100.0,Standard,0.549,0.233,0.502,0.444,Call Center,No Campaign,Not Contacted,195594.0,0.779
CUST000057,Individual,Eko Susanto,Male,1975-09-02,51,Jakarta Barat,DKI Jakarta,-6.158671,106.741993,VEH000057,Motorcycle,Yamaha,2015,11,B,,TRX000057,2025-08-28,2025-04-29,Paid,39987,0,,0,0,39987,2.81,Cloudy,85.7,Premium,0.907,0.705,0.831,0.126,WhatsApp,No Campaign,Not Contacted,103949.5,0.946
CUST000058,Individual,Eko Wijaya,Male,1966-11-26,60,Binjai,Sumatera Utara,3.613393,98.530811,VEH000058,Commercial Vehicle,Isuzu,2006,20,BA,,TRX000058,2026-04-10,2025-02-08,Paid,287902,0,,0,0,287902,4.86,Sunny,103.8,Standard,0.727,0.249,0.308,0.241,SMS,No Campaign,Not Contacted,245124.1,0.936
CUST000059,Individual,Ani Sari,Female,1970-03-15,56,Padang,Sumatera Barat,-0.916104,100.357002,VEH000059,Bus,Isuzu,2022,4,BA,,TRX000059,2024-12-26,2024-04-23,Due Soon,1069532,0,,0,0,1069532,4.27,Cloudy,86.7,Standard,0.551,0.301,0.689,0.234,Call Center,Renewal Reminder,Opened,800806.5,0.834
CUST000060,Individual,Putri Nugroho,Female,2001-03-10,25,Parepare,Sulawesi Selatan,-4.047823,119.635642,VEH000060,Motorcycle,Honda,2016,10,DP,,TRX000060,2025-06-24,2023-11-08,Due Soon,34495,0,,0,0,34495,2.58,Cloudy,89.5,Standard,0.633,0.308,0.32,0.507,Call Center,Renewal Reminder,No Response,26330.8,0.863
CUST000061,Individual,Ayu Nugroho,Female,1968-06-10,58,Cimahi,Jawa Barat,-6.79897,107.485516,VEH000061,Passenger Car,Honda,2025,1,Z,,TRX000061,2026-03-21,2023-09-19,Overdue,170062,0,,0,0,170062,2.2,Rainy,86.2,At Risk,0.399,0.189,0.199,0.953,Email,No Campaign,Not Contacted,121376.7,0.752
CUST000062,Individual,Wati Hidayat,Female,1982-08-09,44,Bogor,Jawa Barat,-6.661937,106.913176,VEH000062,Motorcycle,Honda,2015,11,E,,TRX000062,2023-11-29,2023-09-13,Overdue,41560,0,,0,0,41560,4.66,Cloudy,106.5,Standard,0.685,0.604,0.631,0.332,SMS,No Campaign,Not Contacted,25071.5,0.784
CUST000063,Individual,Novi Hartono,Female,1996-10-01,30,Kediri,Jawa Timur,-7.834906,112.002968,VEH000063,Motorcycle,Suzuki,2012,14,S,,TRX000063,2023-05-08,2023-05-08,Paid,35795,0,,0,0,35795,3.51,Rainy,104.6,Standard,0.353,0.612,0.418,0.377,Call Center,Renewal Reminder,No Response,43759.7,0.895
CUST000064,Individual,Eko Hidayat,Male,2000-02-17,26,Prabumulih,Sumatera Selatan,-3.389828,104.285616,VEH000064,Motorcycle,Suzuki,2007,19,BG,,TRX000064,2026-03-01,2023-01-16,Paid,39167,0,,0,0,39167,3.79,Sunny,91.5,Growth,0.446,0.482,0.683,0.086,WhatsApp,No Campaign,Not Contacted,61524.9,0.873
CUST000065,Individual,Ratna Hidayat,Female,1950-12-07,76,Depok,Jawa Barat,-6.358117,106.793309,VEH000065,Passenger Car,Toyota,2018,8,D,,TRX000065,2024-12-06,2024-05-18,Paid,185563,0,,0,0,185563,1.78,Rainy,81.1,Standard,0.646,0.545,0.691,0.391,WhatsApp,No Campaign,Not Contacted,152296.7,0.959
CUST000066,Individual,Teguh Sari,Male,1983-03-24,43,Jakarta Utara,DKI Jakarta,-6.180157,106.83177,VEH000066,Commercial Vehicle,Mitsubishi,2005,21,B,,TRX000066,2024-09-03,2023-09-18,Overdue,279444,100000,,0,0,379444,2.49,Sunny,89.6,At Risk,0.304,0.089,0.293,0.73,Mobile App,No Campaign,Not Contacted,31004.9,0.799
CUST000067,Organization,Organization 0067,N/A,,,Cimahi,Jawa Barat,-6.847912,107.599799,VEH000067,Motorcycle,TVS,2011,15,F,PT Nusantara 067,TRX000067,2023-04-26,2022-08-11,Paid,35549,0,,0,0,35549,4.43,Sunny,100.9,Growth,0.528,0.521,0.507,0.314,Call Center,Renewal Reminder,No Response,85761.4,0.961
CUST000068,Individual,Ani Putra,Female,1994-07-14,32,Yogyakarta,Jawa Tengah,-7.788132,110.29803,VEH000068,Motorcycle,Kawasaki,2010,16,K,,TRX000068,2026-01-06,2025-01-25,Paid,34654,0,,0,0,34654,2.08,Cloudy,82.0,Standard,0.487,0.438,0.455,0.215,Call Center,Renewal Reminder,Not Contacted,28006.9,0.879
CUST000069,Individual,Faisal Pratama,Male,1992-09-07,34,Depok,Jawa Barat,-6.357972,106.84047,VEH000069,Passenger Car,Nissan,2014,12,D,,TRX000069,2023-02-01,2022-07-25,Due Soon,183730,0,CLM000069,4,20000000,183730,4.28,Rainy,93.9,Standard,0.445,0.327,0.487,0.392,Call Center,MTPL Cross-sell,Clicked,167672.8,0.943
CUST000070,Individual,Faisal Hidayat,Male,1964-12-05,62,Dumai,Riau,1.732533,101.443913,VEH000070,Motorcycle,TVS,2023,3,BM,,TRX000070,2026-04-01,2024-10-03,Paid,34246,0,CLM000070,5,20000000,34246,3.5,Cloudy,104.0,Standard,0.67,0.635,0.557,0.321,SMS,No Campaign,Not Contacted,20074.7,0.923
CUST000071,Individual,Budi Sari,Male,1958-11-08,68,Pontianak,Kalimantan Barat,-0.018905,109.39593,VEH000071,Motorcycle,Yamaha,2005,21,KB,,TRX000071,2024-03-23,2023-10-31,Paid,32346,0,,0,0,32346,5.24,Rainy,103.1,Standard,0.539,0.385,0.307,0.425,WhatsApp,Renewal Reminder,Not Contacted,37768.6,0.853
CUST000072,Individual,Putri Setiawan,Female,2000-07-03,26,Bandung,Jawa Barat,-6.916837,107.609422,VEH000072,Motorcycle,Kawasaki,2019,7,E,,TRX000072,2026-03-03,2023-10-12,Installment,34662,0,,0,0,34662,4.93,Rainy,83.3,Standard,0.549,0.225,0.304,0.177,WhatsApp,MTPL Cross-sell,Opened,35439.9,0.956
CUST000073,Organization,Organization 0073,N/A,,,Palembang,Sumatera Selatan,-3.019004,104.802512,VEH000073,Commercial Vehicle,Toyota,2022,4,BG,UD Mandiri 073,TRX000073,2026-02-28,2026-02-07,Paid,317876,0,,0,0,317876,5.35,Cloudy,106.3,Growth,0.559,0.431,0.515,0.146,Email,MTPL Cross-sell,Clicked,433564.0,0.931
